X,Y,C
41.869482,-87.655486,33
41.870257,-87.639474,40
41.870769,-87.625734,108
41.870816,-87.631246,31
41.871262,-87.673688,4
41.871467,-87.640949,13
41.871514,-87.669886,9
41.871737,-87.65103,36
41.87184,-87.64664,21
41.872078,-87.629544,61
41.872187,-87.661501,28
41.872596,-87.633502,40
41.872773,-87.623981,266
41.87295,-87.66913,12
41.874053,-87.627716,85
41.874255,-87.639573,19
41.874325,-87.725704,1
41.87464,-87.65703,22
41.874749,-87.686445,6
41.874754,-87.649807,63
41.87501,-87.67328,14
41.875024,-87.633094,20
41.875885,-87.640795,8
41.875933,-87.630585,41
41.876243,-87.624426,130
41.876268,-87.629155,53
41.876535,-87.620473,193
41.877181,-87.627844,68
41.877245,-87.639366,29
41.877613,-87.745405,1
41.877618,-87.673895,17
41.877642,-87.649618,43
41.877708,-87.635321,152
41.877726,-87.654787,33
41.87785,-87.62408,216
41.877945,-87.662007,26
41.878119,-87.643948,20
41.878166,-87.631929,45
41.878317,-87.640981,53
41.879255,-87.639904,72
41.879344,-87.631985,49
41.879356,-87.629791,71
41.879434,-87.635504,78
41.879447,-87.642682,15
41.879472,-87.625689,69
41.879788,-87.686113,22
41.880317,-87.635185,72
41.880419,-87.655519,58
41.880958,-87.616743,699
41.881032,-87.624084,877
41.88132,-87.629521,91
41.88137,-87.67493,16
41.88169,-87.63953,39
41.881892,-87.648789,52
41.882091,-87.639833,56
41.882134,-87.625125,146
41.882242,-87.641066,71
41.882664,-87.63253,39
41.88283,-87.661206,17
41.883073,-87.656952,17
41.883143,-87.637242,39
41.883165,-87.6511,21
41.88338,-87.64117,36
41.883668,-87.64867,59
41.883984,-87.624684,239
41.884069,-87.656853,18
41.884114,-87.654264,27
41.884241,-87.629634,57
41.884454,-87.696298,8
41.884576,-87.63189,61
41.884603,-87.706304,3
41.884616,-87.644571,34
41.884621,-87.627834,147
41.884728,-87.619521,126
41.885483,-87.652305,79
41.885502,-87.716866,8
41.885637,-87.641823,44
41.885837,-87.6355,57
41.88592,-87.66717,21
41.885951,-87.677009,17
41.886021,-87.630876,53
41.886024,-87.624117,223
41.886349,-87.617517,96
41.886616,-87.65804,11
41.886835,-87.62232,91
41.886875,-87.62603,233
41.886976,-87.612813,166
41.887664,-87.765469,3
41.887832,-87.755527,4
41.887919,-87.774446,3
41.888243,-87.63639,42
41.888716,-87.644448,38
41.889177,-87.638506,66
41.889187,-87.627754,137
41.889492,-87.688219,9
41.889899,-87.671473,6
41.889906,-87.634266,64
41.890028,-87.636618,24
41.890173,-87.626185,86
41.890469,-87.702608,1
41.890573,-87.622072,129
41.890762,-87.631697,120
41.890847,-87.618617,173
41.891023,-87.63548,27
41.891072,-87.666611,25
41.891264,-87.676842,23
41.891466,-87.626761,159
41.891578,-87.648384,69
41.891795,-87.658751,25
41.891847,-87.62058,133
41.892048,-87.689397,1
41.892278,-87.612043,1255
41.89257,-87.614492,210
41.893808,-87.641697,39
41.893992,-87.629318,78
41.894345,-87.622798,149
41.894503,-87.617854,83
41.894556,-87.653449,20
41.894666,-87.638437,28
41.894722,-87.634362,70
41.894745,-87.756895,1
41.894877,-87.632326,44
41.894887,-87.774704,2
41.894958,-87.764902,1
41.8952,-87.667605,15
41.895465,-87.706128,1
41.895501,-87.682017,11
41.895634,-87.672069,24
41.895748,-87.620104,45
41.895765,-87.625908,99
41.895769,-87.67722,25
41.896362,-87.654061,43
41.896373,-87.660984,16
41.896747,-87.635668,30
41.89675,-87.63089,35
41.89691,-87.621743,86
41.897448,-87.628722,72
41.89766,-87.62351,192
41.897764,-87.642884,20
41.898203,-87.637536,23
41.898418,-87.686596,39
41.898587,-87.621915,108
41.898969,-87.629912,54
41.899181,-87.6722,15
41.899368,-87.64848,3
41.899643,-87.6677,10
41.89993,-87.63443,23
41.900219,-87.642985,16
41.900363,-87.696704,20
41.90068,-87.6626,34
41.90096,-87.623777,438
41.901315,-87.677409,17
41.902309,-87.627691,53
41.902707,-87.70922,5
41.902893,-87.687275,26
41.902924,-87.637715,17
41.902973,-87.63128,94
41.902997,-87.683825,26
41.903029,-87.697474,10
41.903119,-87.673935,34
41.903222,-87.634324,78
41.903266,-87.678435,34
41.90345,-87.667747,65
41.903486,-87.643353,32
41.904613,-87.640552,15
41.906724,-87.63483,71
41.906866,-87.626217,29
41.907066,-87.667252,29
41.907221,-87.655618,5
41.907626,-87.638566,11
41.907655,-87.672552,46
41.907781,-87.685854,1
41.907993,-87.631501,52
41.909396,-87.677692,88
41.909657,-87.716632,5
41.909668,-87.648128,51
41.909769,-87.70528,21
41.909855,-87.66993,40
41.91021,-87.6435,14
41.91044,-87.6972,19
41.910509,-87.682389,20
41.910522,-87.653106,32
41.910535,-87.689556,18
41.910578,-87.649422,59
41.911386,-87.638677,58
41.911722,-87.626804,260
41.911974,-87.631942,83
41.912133,-87.634656,105
41.912616,-87.681391,50
41.912919,-87.664169,9
41.913688,-87.652855,22
41.913865,-87.648755,22
41.914027,-87.705126,15
41.914166,-87.716755,25
41.91461,-87.667968,38
41.91468,-87.64332,23
41.91552,-87.687022,40
41.915689,-87.6346,176
41.915983,-87.677335,59
41.916433,-87.666746,25
41.917108,-87.710221,11
41.917513,-87.701809,17
41.917741,-87.691392,18
41.917805,-87.682437,23
41.918084,-87.643749,30
41.918216,-87.656936,13
41.918306,-87.636282,177
41.91844,-87.65222,48
41.918491,-87.697423,28
41.919936,-87.64883,77
41.920082,-87.677855,56
41.920196,-87.692659,15
41.920771,-87.663712,24
41.921525,-87.707322,19
41.92154,-87.653818,51
41.921822,-87.64414,97
41.922167,-87.638888,30
41.922695,-87.697153,61
41.923931,-87.635825,145
41.924091,-87.67646,16
41.924161,-87.64638,57
41.92459,-87.72785,6
41.924632,-87.689307,17
41.924816,-87.714495,18
41.92533,-87.6658,44
41.925563,-87.658404,31
41.925602,-87.653708,74
41.925858,-87.638973,128
41.926277,-87.630834,283
41.92669,-87.697668,15
41.926756,-87.634429,73
41.928712,-87.653833,43
41.928773,-87.663913,47
41.92883,-87.668507,27
41.928887,-87.658971,12
41.929143,-87.649077,54
41.929465,-87.684158,31
41.929546,-87.643118,72
41.929567,-87.707857,71
41.930585,-87.723777,8
41.931248,-87.644336,74
41.93132,-87.638742,76
41.931902,-87.701195,6
41.931931,-87.677856,15
41.932225,-87.658617,31
41.932418,-87.652705,28
41.932588,-87.636427,77
41.93259,-87.665936,13
41.93314,-87.64776,28
41.935337,-87.716889,6
41.935733,-87.663576,19
41.93588,-87.67842,8
41.936083,-87.669807,20
41.936166,-87.651603,29
41.936497,-87.647539,44
41.936688,-87.636829,55
41.937582,-87.644098,95
41.938429,-87.698008,13
41.939354,-87.683282,10
41.939365,-87.668385,23
41.939398,-87.711561,13
41.939408,-87.723574,5
41.939478,-87.663748,28
41.939743,-87.658865,40
41.940106,-87.645451,40
41.94018,-87.65304,80
41.9406,-87.6785,16
41.940775,-87.639192,83
41.943034,-87.687288,4
41.943403,-87.679618,14
41.94367,-87.64895,53
41.943739,-87.66402,66
41.943791,-87.671258,32
41.94454,-87.654678,65
41.945244,-87.70665,15
41.945529,-87.646439,71
41.946176,-87.673308,12
41.946264,-87.731023,3
41.946636,-87.694615,11
41.946655,-87.683359,9
41.947326,-87.717582,7
41.94815,-87.66394,56
41.948797,-87.675278,12
41.949074,-87.648636,56
41.949399,-87.654529,82
41.949473,-87.646453,41
41.949923,-87.713949,5
41.950687,-87.6687,23
41.95078,-87.659172,47
41.952162,-87.698051,16
41.952833,-87.649993,32
41.953393,-87.732002,8
41.953586,-87.709311,4
41.953733,-87.740569,1
41.954005,-87.719128,10
41.954177,-87.664358,15
41.954245,-87.654406,31
41.954341,-87.68608,9
41.954383,-87.648043,33
41.954468,-87.749594,2
41.95469,-87.67393,18
41.956004,-87.680161,19
41.956057,-87.668835,9
41.957081,-87.664199,9
41.957867,-87.649505,35
41.957921,-87.673567,5
41.958494,-87.654966,23
41.960631,-87.745359,1
41.961004,-87.649603,25
41.961041,-87.705866,4
41.961068,-87.695439,19
41.96108,-87.73569,1
41.961108,-87.72897,2
41.961154,-87.716569,4
41.961406,-87.676169,18
41.961507,-87.671387,12
41.961526,-87.691165,6
41.961588,-87.666036,15
41.96167,-87.65464,34
41.963004,-87.684781,22
41.96325,-87.679258,14
41.963982,-87.638181,159
41.965221,-87.658139,22
41.965845,-87.645361,67
41.965875,-87.700825,3
41.9659,-87.693638,7
41.9664,-87.688704,19
41.966686,-87.708052,3
41.967094,-87.679028,7
41.967096,-87.667429,28
41.967968,-87.650001,21
41.968354,-87.711831,7
41.968812,-87.657659,14
41.968885,-87.684001,7
41.968987,-87.696027,14
41.96909,-87.674237,20
41.969517,-87.654691,17
41.9716,-87.650154,30
41.973348,-87.667855,42
41.973815,-87.65966,15
41.974911,-87.692503,2
41.975615,-87.679459,13
41.975633,-87.701419,12
41.975672,-87.709261,6
41.977997,-87.668047,37
41.978353,-87.659753,36
41.979762,-87.67753,4
41.979851,-87.681932,7
41.980394,-87.716115,4
41.98223,-87.708887,2
41.983593,-87.669154,21
41.983665,-87.696423,2
41.984037,-87.65231,74
41.984045,-87.660274,25
41.989743,-87.660141,38
41.990236,-87.69337,8
41.99086,-87.669724,20
41.991178,-87.683593,1
41.994161,-87.689438,3
41.99478,-87.660285,32
41.999252,-87.671377,9
42.001044,-87.661198,29
42.001785,-87.688829,6
42.004451,-87.672402,6
42.00455,-87.680666,4
42.004583,-87.661406,13
42.007972,-87.665502,7
42.009011,-87.674112,6
42.010587,-87.662412,21
42.012132,-87.682913,1
42.012342,-87.688243,4
42.012701,-87.666058,15
42.015962,-87.66857,9
42.015963,-87.675005,2
42.018901,-87.690048,1
42.019159,-87.673573,6
42.019276,-87.68452,1
42.019537,-87.669563,2
42.020887,-87.665058,3
42.023463,-87.699595,5
42.025784,-87.684107,2
42.032562,-87.679101,11
42.034632,-87.699188,1
42.039742,-87.699413,4
42.048214,-87.683485,28
42.048308,-87.698224,1
42.050491,-87.677821,33
42.052939,-87.673447,19
42.058239,-87.677432,33
42.063598,-87.69873,2
42.064313,-87.686152,8
42.064854,-87.715297,4
